Año,Quarter,Ranking,Lenguaje,Porcentaje
2020,2,28,SystemVerilog,0.1620.148
2020,2,29,PowerShell,0.1510.066
2020,2,30,Erlang,0.1060.020
2020,2,31,CodeQL,0.098
2020,2,32,R,0.089
2020,2,33,Julia,0.087
2020,2,34,Lean,0.083
2020,2,35,CoffeeScript,0.081
2020,2,36,Assembly,0.069
2020,2,37,Bicep,0.068
2020,2,38,Puppet,0.067
2020,2,39,Vim Script,0.062
2020,2,40,MATLAB,0.056
2020,2,41,F#,0.055
2020,2,42,Smalltalk,0.053
2020,2,43,hoon,0.048
2020,2,44,Verilog,0.044
2020,2,45,Vala,0.043
2020,2,46,Visual Basic .NET,0.042
2020,2,47,Fortran,0.041
2020,2,48,Crystal,0.041
2020,2,49,WebAssembly,0.035
2020,2,50,ABAP,0.034
2020,3,1,Python,17.7190.420
2020,3,2,JavaScript,12.5771.739
2020,3,3,Java,11.4930.823
2020,3,4,C++,9.5810.861
2020,3,5,Go,9.0480.242
2020,3,6,TypeScript,7.6000.771
2020,3,7,PHP,5.5040.348
2020,3,8,Ruby,4.8190.432
2020,3,9,C,3.8040.112
2020,3,10,C#,3.2430.015
2020,3,11,Shell,2.1520.076
2020,3,12,Scala,1.5530.281
2020,3,13,Kotlin,1.5200.288
2020,3,14,Rust,1.3130.006
2020,3,15,Nix,1.0730.071
2020,3,16,Swift,0.9630.128
2020,3,17,Dart,0.8330.206
2020,3,18,DM,0.5030.053
2020,3,19,Objective-C,0.4480.091
2020,3,20,Groovy,0.4200.022
2020,3,21,Perl,0.3230.037
2020,3,22,Elixir,0.3200.103
2020,3,23,Lua,0.3190.007
2020,3,24,Clojure,0.2690.016
2020,3,25,Haskell,0.2360.006
2020,3,26,SystemVerilog,0.1850.124
2020,3,27,OCaml,0.1850.013
2020,3,28,Emacs Lisp,0.1660.031
2020,3,29,PowerShell,0.1490.047
2020,3,30,Lean,0.1150.075
2020,3,31,Bicep,0.110
2020,3,32,CodeQL,0.110
2020,3,33,Erlang,0.105
2020,3,34,CoffeeScript,0.099
2020,3,35,Julia,0.085
2020,3,36,Puppet,0.084
2020,3,37,R,0.079
2020,3,38,hoon,0.071
2020,3,39,Vim Script,0.056
2020,3,40,Visual Basic .NET,0.054
2020,3,41,ABAP,0.053
2020,3,42,Assembly,0.053
2020,3,43,MATLAB,0.048
2020,3,44,WebAssembly,0.044
2020,3,45,Smalltalk,0.043
2020,3,46,F#,0.042
2020,3,47,Fortran,0.038
2020,3,48,Verilog,0.030
2020,3,49,Common Lisp,0.030
2020,3,50,Haxe,0.023
2020,4,1,Python,17.7530.104
2020,4,2,JavaScript,12.1401.819
2020,4,3,Java,11.0680.529
2020,4,4,C++,9.6050.670
2020,4,5,Go,8.3660.509
2020,4,6,TypeScript,7.3070.478
2020,4,7,PHP,6.2460.144
2020,4,8,Ruby,4.8950.237
2020,4,9,C,4.1570.281
2020,4,10,C#,3.2130.100
2020,4,11,Shell,2.3170.147
2020,4,12,Scala,1.8070.042
2020,4,13,Rust,1.5410.162
2020,4,14,Kotlin,1.4510.140
2020,4,15,Nix,1.2260.162
2020,4,16,Dart,0.8990.237
2020,4,17,Swift,0.8940.169
2020,4,18,Objective-C,0.4250.087
2020,4,19,Groovy,0.3810.003
2020,4,20,DM,0.3590.139
2020,4,21,Perl,0.3440.057
2020,4,22,Lua,0.3360.050
2020,4,23,Elixir,0.2700.101
2020,4,24,Haskell,0.2590.031
2020,4,25,Clojure,0.2330.007
2020,4,26,OCaml,0.2140.010
2020,4,27,SystemVerilog,0.2040.082
2020,4,28,Emacs Lisp,0.1590.047
2020,4,29,Erlang,0.1470.030
2020,4,30,PowerShell,0.1460.053
2020,4,31,Lean,0.128
2020,4,32,CoffeeScript,0.111
2020,4,33,CodeQL,0.105
2020,4,34,Julia,0.095
2020,4,35,hoon,0.083
2020,4,36,R,0.083
2020,4,37,MATLAB,0.074
2020,4,38,Bicep,0.066
2020,4,39,Puppet,0.060
2020,4,40,F#,0.058
2020,4,41,Visual Basic .NET,0.057
2020,4,42,PureScript,0.056
2020,4,43,Vim Script,0.056
2020,4,44,Assembly,0.056
2020,4,45,WebAssembly,0.054
2020,4,46,Verilog,0.031
2020,4,47,Mustache,0.030
2020,4,48,Smalltalk,0.026
2020,4,49,Raku,0.023
2020,4,50,Vala,0.023
2021,1,1,Python,17.7930.308
2021,1,2,JavaScript,11.9501.058
2021,1,3,Java,11.2830.306
2021,1,4,C++,9.2010.088
2021,1,5,Go,8.2240.937
2021,1,6,TypeScript,7.4980.541
2021,1,7,PHP,5.6370.252
2021,1,8,Ruby,5.2010.188
2021,1,9,C,4.4540.429
2021,1,10,C#,3.1300.075
2021,1,11,Shell,2.6570.600
2021,1,12,Scala,1.7970.064
2021,1,13,Rust,1.4060.142
2021,1,14,Kotlin,1.4030.001
2021,1,15,Nix,1.3790.321
2021,1,16,Dart,0.8540.145
2021,1,17,Swift,0.8080.262
2021,1,18,DM,0.4940.070
2021,1,19,Objective-C,0.3960.045
2021,1,20,Groovy,0.3690.022
2021,1,21,Lua,0.3220.015
2021,1,22,Perl,0.3200.050
2021,1,23,Elixir,0.2660.071
2021,1,24,SystemVerilog,0.2360.096
2021,1,25,Haskell,0.2360.002
2021,1,26,Emacs Lisp,0.1990.013
2021,1,27,Clojure,0.1950.037
2021,1,28,Erlang,0.1740.064
2021,1,29,OCaml,0.1700.030
2021,1,30,Lean,0.1570.109
2021,1,31,PowerShell,0.145
2021,1,32,CodeQL,0.133
2021,1,33,CoffeeScript,0.131
2021,1,34,Julia,0.093
2021,1,35,R,0.086
2021,1,36,hoon,0.086
2021,1,37,Visual Basic .NET,0.084
2021,1,38,Bicep,0.061
2021,1,39,PureScript,0.059
2021,1,40,Vim Script,0.059
2021,1,41,WebAssembly,0.053
2021,1,42,Puppet,0.051
2021,1,43,Assembly,0.048
2021,1,44,MATLAB,0.047
2021,1,45,F#,0.047
2021,1,46,Coq,0.045
2021,1,47,Verilog,0.041
2021,1,48,Fortran,0.039
2021,1,49,Nim,0.032
2021,1,50,Crystal,0.031
2021,2,1,Python,17.7010.172
2021,2,2,JavaScript,11.6931.197
2021,2,3,Java,11.5070.627
2021,2,4,C++,9.4580.080
2021,2,5,Go,8.3000.635
2021,2,6,TypeScript,8.2551.066
2021,2,7,PHP,5.4600.369
2021,2,8,Ruby,5.0310.361
2021,2,9,C,4.2530.030
2021,2,10,C#,2.9950.206
2021,2,11,Shell,2.2170.021
2021,2,12,Scala,1.8290.193
2021,2,13,Nix,1.6070.467
2021,2,14,Kotlin,1.4450.096
2021,2,15,Rust,1.4320.046
2021,2,16,Dart,0.9320.241
2021,2,17,Swift,0.7930.226
2021,2,18,DM,0.3730.031
2021,2,19,Objective-C,0.3320.116
2021,2,20,Lua,0.3140.012
2021,2,21,Bicep,0.2980.231
2021,2,22,Groovy,0.2840.057
2021,2,23,Elixir,0.2810.084
2021,2,24,Perl,0.2800.105
2021,2,25,SystemVerilog,0.2610.099
2021,2,26,Emacs Lisp,0.2160.006
2021,2,27,OCaml,0.2160.035
2021,2,28,Haskell,0.2160.054
2021,2,29,Clojure,0.1930.042
2021,2,30,Erlang,0.1570.051
2021,2,31,Lean,0.142
2021,2,32,PowerShell,0.118
2021,2,33,CodeQL,0.110
2021,2,34,Julia,0.095
2021,2,35,R,0.083
2021,2,36,CoffeeScript,0.080
2021,2,37,hoon,0.071
2021,2,38,Verilog,0.070
2021,2,39,Puppet,0.064
2021,2,40,Visual Basic .NET,0.055
2021,2,41,MATLAB,0.054
2021,2,42,F#,0.044
2021,2,43,Assembly,0.042
2021,2,44,Smalltalk,0.042
2021,2,45,GAP,0.039
2021,2,46,Vim Script,0.038
2021,2,47,WebAssembly,0.035
2021,2,48,Coq,0.034
2021,2,49,Fortran,0.034
2021,2,50,Nim,0.032
2021,3,1,Python,18.1260.407
2021,3,2,JavaScript,11.1421.435
2021,3,3,Java,11.1090.384
2021,3,4,C++,9.7410.160
2021,3,5,Go,8.7330.315
2021,3,6,TypeScript,8.3500.749
2021,3,7,PHP,5.6130.109
2021,3,8,Ruby,4.8290.010
2021,3,9,C,4.2620.458
2021,3,10,C#,3.0970.146
2021,3,11,Shell,2.2200.067
2021,3,12,Scala,1.6940.141
2021,3,13,Nix,1.6880.615
2021,3,14,Kotlin,1.4540.066
2021,3,15,Rust,1.3370.024
2021,3,16,Swift,0.9110.052
2021,3,17,Dart,0.7280.105
2021,3,18,DM,0.4310.071
2021,3,19,Perl,0.3570.034
2021,3,20,Objective-C,0.3270.121
2021,3,21,Elixir,0.2930.027
2021,3,22,Groovy,0.2720.148
2021,3,23,Lua,0.2520.067
2021,3,24,SystemVerilog,0.2500.066
2021,3,25,OCaml,0.2230.039
2021,3,26,Clojure,0.2200.049
2021,3,27,Haskell,0.2190.016
2021,3,28,Lean,0.1690.054
2021,3,29,Bicep,0.1560.046
2021,3,30,Emacs Lisp,0.1510.015
2021,3,31,Erlang,0.150
2021,3,32,CodeQL,0.114
2021,3,33,PowerShell,0.109
2021,3,34,Verilog,0.101
2021,3,35,Julia,0.084
2021,3,36,R,0.073
2021,3,37,CoffeeScript,0.069
2021,3,38,F#,0.058
2021,3,39,Visual Basic .NET,0.055
2021,3,40,MATLAB,0.053
2021,3,41,Vim Script,0.052
2021,3,42,Vala,0.052
2021,3,43,WebAssembly,0.049
2021,3,44,Puppet,0.049
2021,3,45,Assembly,0.049
2021,3,46,Smalltalk,0.041
2021,3,47,hoon,0.039
2021,3,48,Fortran,0.034
2021,3,49,Mustache,0.029
2021,3,50,Coq,0.028
2021,4,1,Python,18.0230.270
2021,4,2,Java,11.4420.374
2021,4,3,JavaScript,10.8761.264
2021,4,4,C++,9.7450.140
2021,4,5,Go,8.1680.198
2021,4,6,TypeScript,7.6200.313
2021,4,7,PHP,5.9220.324
2021,4,8,Ruby,4.7850.111
2021,4,9,C,4.5770.421
2021,4,10,C#,3.1920.021
2021,4,11,Shell,2.3890.071
2021,4,12,Nix,2.1360.910
2021,4,13,Scala,1.8510.044
2021,4,14,Kotlin,1.3900.062
2021,4,15,Rust,1.3570.184
2021,4,16,Swift,0.8930.001
2021,4,17,Dart,0.7870.112
2021,4,18,DM,0.3790.020
2021,4,19,Perl,0.3260.018
2021,4,20,Groovy,0.3110.070
2021,4,21,Elixir,0.2970.027
2021,4,22,SystemVerilog,0.2970.093
2021,4,23,Lua,0.2860.050
2021,4,24,Objective-C,0.2850.140
2021,4,25,OCaml,0.2640.050
2021,4,26,Haskell,0.2480.011
2021,4,27,Lean,0.2170.088
2021,4,28,Erlang,0.1800.033
2021,4,29,Clojure,0.1700.063
2021,4,30,Emacs Lisp,0.1520.008
2021,4,31,CodeQL,0.136
2021,4,32,PowerShell,0.093
2021,4,33,Verilog,0.091
2021,4,34,R,0.082
2021,4,35,Julia,0.068
2021,4,36,CoffeeScript,0.063
2021,4,37,F#,0.060
2021,4,38,Puppet,0.057
2021,4,39,Assembly,0.049
2021,4,40,Vala,0.048
2021,4,41,MATLAB,0.044
2021,4,42,Visual Basic .NET,0.042
2021,4,43,WebAssembly,0.042
2021,4,44,Vim Script,0.041
2021,4,45,Bicep,0.037
2021,4,46,hoon,0.033
2021,4,47,SWIG,0.027
2021,4,48,Sass,0.026
2021,4,49,Fortran,0.025
2021,4,50,Elm,0.024
2022,1,1,Python,17.5220.271
2022,1,2,Java,11.8200.537
2022,1,3,JavaScript,10.6131.337
2022,1,4,C++,9.7580.557
2022,1,5,Go,8.7370.513
2022,1,6,TypeScript,7.9020.404
2022,1,7,PHP,5.7200.083
2022,1,8,Ruby,4.9350.266
2022,1,9,C,4.3860.067
2022,1,10,C#,3.1010.029
2022,1,11,Shell,2.4690.188
2022,1,12,Nix,1.8660.488
2022,1,13,Scala,1.8330.036
2022,1,14,Rust,1.4050.001
2022,1,15,Kotlin,1.3930.010
2022,1,16,Swift,0.9480.141
2022,1,17,Dart,0.6770.177
2022,1,18,DM,0.4180.076
2022,1,19,SystemVerilog,0.3840.147
2022,1,20,Perl,0.3260.006
2022,1,21,Lua,0.3130.009
2022,1,22,Groovy,0.2930.076
2022,1,23,Objective-C,0.2630.133
2022,1,24,OCaml,0.2480.077
2022,1,25,Lean,0.2440.086
2022,1,26,Elixir,0.2390.027
2022,1,27,Haskell,0.1950.041
2022,1,28,Clojure,0.1680.027
2022,1,29,Emacs Lisp,0.1640.035
2022,1,30,CodeQL,0.1550.022
2022,1,31,Erlang,0.154
2022,1,32,PowerShell,0.104
2022,1,33,Julia,0.097
2022,1,34,Puppet,0.073
2022,1,35,Verilog,0.071
2022,1,36,CoffeeScript,0.065
2022,1,37,R,0.062
2022,1,38,MATLAB,0.058
2022,1,39,F#,0.057
2022,1,40,Bicep,0.052
2022,1,41,Visual Basic .NET,0.051
2022,1,42,Assembly,0.044
2022,1,43,PureScript,0.040
2022,1,44,Vim Script,0.035
2022,1,45,Fortran,0.035
2022,1,46,WebAssembly,0.031
2022,1,47,Raku,0.029
2022,1,48,hoon,0.028
2022,1,49,Cython,0.027
2022,1,50,GAP,0.026
2022,2,1,Python,16.6841.017
2022,2,2,Java,11.6010.094
2022,2,3,JavaScript,10.4131.280
2022,2,4,C++,9.6940.236
2022,2,5,Go,9.3051.005
2022,2,6,TypeScript,8.6630.407
2022,2,7,PHP,5.2650.195
2022,2,8,Ruby,4.8800.151
2022,2,9,C,4.1020.151
2022,2,10,C#,3.3820.387
2022,2,11,Shell,2.4420.225
2022,2,12,Nix,2.0980.491
2022,2,13,Kotlin,1.7670.322
2022,2,14,Scala,1.4900.339
2022,2,15,Rust,1.4850.053
2022,2,16,Swift,1.0240.231
2022,2,17,Dart,0.9350.002
2022,2,18,DM,0.4740.100
2022,2,19,SystemVerilog,0.3590.099
2022,2,20,Perl,0.3120.032
2022,2,21,Groovy,0.2990.015
2022,2,22,Lua,0.2830.031
2022,2,23,Objective-C,0.2830.049
2022,2,24,Lean,0.2710.130
2022,2,25,Haskell,0.2110.005
2022,2,26,Elixir,0.1870.094
2022,2,27,OCaml,0.1800.035
2022,2,28,Clojure,0.1760.017
2022,2,29,CodeQL,0.1660.057
2022,2,30,Erlang,0.1320.025
2022,2,31,PowerShell,0.127
2022,2,32,Emacs Lisp,0.123
2022,2,33,Julia,0.095
2022,2,34,R,0.074
2022,2,35,CoffeeScript,0.069
2022,2,36,Assembly,0.058
2022,2,37,Verilog,0.057
2022,2,38,MATLAB,0.057
2022,2,39,Bicep,0.057
2022,2,40,Puppet,0.051
2022,2,41,Visual Basic .NET,0.051
2022,2,42,Vim Script,0.041
2022,2,43,WebAssembly,0.038
2022,2,44,PureScript,0.038
2022,2,45,F#,0.036
2022,2,46,Smalltalk,0.030
2022,2,47,hoon,0.026
2022,2,48,Fortran,0.026
2022,2,49,Cuda,0.023
2022,2,50,Vala,0.022
2022,3,1,Python,17.1990.927
2022,3,2,Java,11.2580.149
2022,3,3,C++,10.0600.319
2022,3,4,Go,9.8591.127
2022,3,5,JavaScript,9.3731.768
2022,3,6,TypeScript,8.2700.080
2022,3,7,PHP,5.1740.439
2022,3,8,Ruby,4.6790.150
2022,3,9,C,4.3380.076
2022,3,10,C#,3.3950.298
2022,3,11,Shell,2.4870.267
2022,3,12,Rust,2.0990.762
2022,3,13,Nix,1.9570.269
2022,3,14,Scala,1.6790.015
2022,3,15,Kotlin,1.5100.056
2022,3,16,Swift,0.9620.051
2022,3,17,Dart,0.8230.095
2022,3,18,DM,0.4180.014
2022,3,19,SystemVerilog,0.3380.088
2022,3,20,Lua,0.3340.082
2022,3,21,Perl,0.3250.032
2022,3,22,Groovy,0.3170.046
2022,3,23,Objective-C,0.2560.071
2022,3,24,Lean,0.2290.060
2022,3,25,Haskell,0.2210.002
2022,3,26,Elixir,0.2020.091
2022,3,27,OCaml,0.1800.043
2022,3,28,CodeQL,0.1720.058
2022,3,29,Clojure,0.1560.064
2022,3,30,PowerShell,0.1430.034
2022,3,31,Emacs Lisp,0.120
2022,3,32,Erlang,0.115
2022,3,33,Julia,0.094
2022,3,34,F#,0.092
2022,3,35,Bicep,0.080
2022,3,36,Assembly,0.070
2022,3,37,CoffeeScript,0.066
2022,3,38,WebAssembly,0.065
2022,3,39,Verilog,0.064
2022,3,40,MATLAB,0.058
2022,3,41,Visual Basic .NET,0.049
2022,3,42,R,0.044
2022,3,43,Puppet,0.042
2022,3,44,GAP,0.039
2022,3,45,SourcePawn,0.037
2022,3,46,Vim Script,0.035
2022,3,47,MLIR,0.031
2022,3,48,ZAP,0.030
2022,3,49,ANTLR,0.029
2022,3,50,hoon,0.027
2022,4,1,Python,17.9160.107
2022,4,2,Java,11.2810.161
2022,4,3,JavaScript,9.8751.001
2022,4,4,C++,9.7040.041
2022,4,5,Go,9.4351.266
2022,4,6,TypeScript,8.3070.687
2022,4,7,PHP,5.2700.652
2022,4,8,Ruby,4.6360.149
2022,4,9,C,4.2410.336
2022,4,10,C#,3.2700.078
2022,4,11,Shell,2.5320.143
2022,4,12,Nix,2.2290.093
2022,4,13,Scala,1.7070.144
2022,4,14,Rust,1.6630.306
2022,4,15,Kotlin,1.3790.011
2022,4,16,Swift,0.9310.039
2022,4,17,Dart,0.8420.054
2022,4,18,DM,0.3980.019
2022,4,19,Lua,0.3830.097
2022,4,20,SystemVerilog,0.3680.071
2022,4,21,Perl,0.3260.001
2022,4,22,Groovy,0.3250.014
2022,4,23,Objective-C,0.2510.033
2022,4,24,CodeQL,0.2330.097
2022,4,25,Elixir,0.2140.083
2022,4,26,OCaml,0.2040.059
2022,4,27,Haskell,0.1910.057
2022,4,28,Lean,0.1830.034
2022,4,29,Erlang,0.1280.051
2022,4,30,Emacs Lisp,0.1130.039
2022,4,31,PowerShell,0.108
2022,4,32,Clojure,0.096
2022,4,33,Julia,0.092
2022,4,34,MLIR,0.073
2022,4,35,Verilog,0.073
2022,4,36,Vim Script,0.070
2022,4,37,CoffeeScript,0.054
2022,4,38,Assembly,0.052
2022,4,39,WebAssembly,0.052
2022,4,40,Puppet,0.052
2022,4,41,F#,0.048
2022,4,42,R,0.048
2022,4,43,GAP,0.045
2022,4,44,Bicep,0.042
2022,4,45,MATLAB,0.040
2022,4,46,Visual Basic .NET,0.031
2022,4,47,ANTLR,0.028
2022,4,48,hoon,0.027
2022,4,49,Fortran,0.025
2022,4,50,Cython,0.023
2023,1,1,Python,17.2090.313
2023,1,2,Java,11.3150.505
2023,1,3,Go,10.4241.687
2023,1,4,C++,10.0830.326
2023,1,5,JavaScript,9.5541.059
2023,1,6,TypeScript,7.8990.003
2023,1,7,PHP,5.3080.412
2023,1,8,Ruby,5.0130.078
2023,1,9,C,4.4080.021
2023,1,10,C#,3.1420.041
2023,1,11,Shell,2.5300.062
2023,1,12,Nix,2.1260.260
2023,1,13,Rust,1.7280.323
2023,1,14,Scala,1.5550.278
2023,1,15,Kotlin,1.4370.044
2023,1,16,Swift,0.9360.012
2023,1,17,Dart,0.9240.247
2023,1,18,DM,0.3700.047
2023,1,19,Lua,0.3540.041
2023,1,20,Groovy,0.3370.043
2023,1,21,Perl,0.2910.034
2023,1,22,Objective-C,0.2590.004
2023,1,23,Elixir,0.2070.032
2023,1,24,Haskell,0.2010.006
2023,1,25,OCaml,0.2000.048
2023,1,26,CodeQL,0.1680.013
2023,1,27,SystemVerilog,0.1610.223
2023,1,28,Erlang,0.1600.006
2023,1,29,PowerShell,0.1270.023
2023,1,30,Clojure,0.1080.060
2023,1,31,Emacs Lisp,0.097
2023,1,32,Julia,0.091
2023,1,33,Lean,0.086
2023,1,34,Verilog,0.084
2023,1,35,MLIR,0.068
2023,1,36,ANTLR,0.060
2023,1,37,CoffeeScript,0.051
2023,1,38,Assembly,0.051
2023,1,39,R,0.050
2023,1,40,MATLAB,0.046
2023,1,41,Puppet,0.045
2023,1,42,WebAssembly,0.044
2023,1,43,Visual Basic .NET,0.040
2023,1,44,Bicep,0.040
2023,1,45,F#,0.038
2023,1,46,Vim Script,0.037
2023,1,47,hoon,0.036
2023,1,48,Smalltalk,0.031
2023,1,49,GLSL,0.029
2023,1,50,GAP,0.027
2023,2,1,Python,17.3550.670
2023,2,2,Java,11.3870.214
2023,2,3,Go,10.8771.573
2023,2,4,C++,9.9940.299
2023,2,5,JavaScript,9.5420.871
2023,2,6,TypeScript,7.6730.989
2023,2,7,PHP,5.0860.179
2023,2,8,C,4.6150.514
2023,2,9,Ruby,4.4940.387
2023,2,10,C#,3.2700.112
2023,2,11,Shell,2.4990.056
2023,2,12,Nix,2.2500.151
2023,2,13,Rust,1.7070.222
2023,2,14,Scala,1.5510.061
2023,2,15,Kotlin,1.4930.273
2023,2,16,Swift,1.0270.003
2023,2,17,Dart,0.8980.036
2023,2,18,DM,0.4100.064
2023,2,19,Lua,0.3390.056
2023,2,20,Groovy,0.3100.011
2023,2,21,Perl,0.2810.031
2023,2,22,Objective-C,0.2570.026
2023,2,23,SystemVerilog,0.2470.112
2023,2,24,Elixir,0.1990.012
2023,2,25,OCaml,0.1840.004
2023,2,26,Haskell,0.1770.033
2023,2,27,CodeQL,0.1750.009
2023,2,28,Erlang,0.1260.006
2023,2,29,PowerShell,0.1050.022
2023,2,30,Clojure,0.0870.089
2023,2,31,Julia,0.082
2023,2,32,Verilog,0.076
2023,2,33,Emacs Lisp,0.076
2023,2,34,Lean,0.071
2023,2,35,CoffeeScript,0.060
2023,2,36,MLIR,0.056
2023,2,37,R,0.055
2023,2,38,Assembly,0.052
2023,2,39,ANTLR,0.047
2023,2,40,Smalltalk,0.044
2023,2,41,Bicep,0.043
2023,2,42,MATLAB,0.043
2023,2,43,F#,0.042
2023,2,44,WebAssembly,0.039
2023,2,45,hoon,0.039
2023,2,46,Fortran,0.035
2023,2,47,Vim Script,0.032
2023,2,48,Visual Basic .NET,0.031
2023,2,49,Puppet,0.031
2023,2,50,Haml,0.030
2023,3,1,Python,17.7180.519
2023,3,2,Java,11.0870.170
2023,3,3,Go,10.8190.960
2023,3,4,JavaScript,10.0670.693
2023,3,5,C++,9.7130.347
2023,3,6,TypeScript,7.6110.659
2023,3,7,PHP,4.8360.338
2023,3,8,Ruby,4.6900.012
2023,3,9,C,4.3100.028
2023,3,10,C#,3.5310.137
2023,3,11,Shell,2.4690.018
2023,3,12,Nix,2.4370.480
2023,3,13,Rust,1.8290.270
2023,3,14,Scala,1.6330.046
2023,3,15,Kotlin,1.4890.022
2023,3,16,Swift,1.0600.098
2023,3,17,Dart,0.7800.043
2023,3,18,DM,0.4200.002
2023,3,19,Lua,0.3300.004
2023,3,20,Groovy,0.3020.015
2023,3,21,Perl,0.2730.052
2023,3,22,Elixir,0.2490.047
2023,3,23,Objective-C,0.2080.048
2023,3,24,SystemVerilog,0.1670.171
2023,3,25,OCaml,0.1660.014
2023,3,26,Haskell,0.1620.059
2023,3,27,CodeQL,0.1370.035
2023,3,28,Erlang,0.1090.006
2023,3,29,Emacs Lisp,0.0880.032
2023,3,30,Julia,0.0870.008
2023,3,31,Verilog,0.081
2023,3,32,Clojure,0.078
2023,3,33,PowerShell,0.071
2023,3,34,R,0.056
2023,3,35,CoffeeScript,0.054
2023,3,36,Assembly,0.053
2023,3,37,MATLAB,0.046
2023,3,38,WebAssembly,0.042
2023,3,39,Scheme,0.037
2023,3,40,F#,0.035
2023,3,41,Puppet,0.033
2023,3,42,Bicep,0.033
2023,3,43,Vim Script,0.032
2023,3,44,ANTLR,0.030
2023,3,45,Smalltalk,0.028
2023,3,46,MLIR,0.028
2023,3,47,Visual Basic .NET,0.027
2023,3,48,Haml,0.026
2023,3,49,Vala,0.025
2023,3,50,Fortran,0.024
2023,4,1,Python,17.3800.537
2023,4,2,Java,11.7700.488
2023,4,3,Go,10.0000.566
2023,4,4,JavaScript,9.9490.074
2023,4,5,C++,9.6560.048
2023,4,6,TypeScript,7.4600.847
2023,4,7,PHP,5.4800.209
2023,4,8,C,4.5760.334
2023,4,9,Ruby,4.5330.103
2023,4,10,C#,3.4370.167
2023,4,11,Nix,2.8040.575
2023,4,12,Shell,2.2860.245
2023,4,13,Rust,1.8270.164
2023,4,14,Scala,1.5630.144
2023,4,15,Kotlin,1.4030.024
2023,4,16,Swift,0.9910.060
2023,4,17,Dart,0.7270.115
2023,4,18,DM,0.3940.004
2023,4,19,Groovy,0.3630.038
2023,4,20,Lua,0.3390.044
2023,4,21,Perl,0.3020.024
2023,4,22,Elixir,0.2330.019
2023,4,23,Objective-C,0.2200.032
2023,4,24,SystemVerilog,0.1820.185
2023,4,25,CodeQL,0.1720.061
2023,4,26,Haskell,0.1600.031
2023,4,27,OCaml,0.1480.057
2023,4,28,Erlang,0.1330.004
2023,4,29,PowerShell,0.0900.018
2023,4,30,Clojure,0.0880.009
2023,4,31,Julia,0.083
2023,4,32,F#,0.077
2023,4,33,Emacs Lisp,0.077
2023,4,34,R,0.074
2023,4,35,CoffeeScript,0.069
2023,4,36,Puppet,0.060
2023,4,37,Assembly,0.060
2023,4,38,Verilog,0.055
