Language,Repository,User,URL,NumberOfStar,NumberOfFork
Swift,Dayflow,JerryZLiu,https://github.com/JerryZLiu/Dayflow,5374,271
Swift,swift-composable-architecture,pointfreeco,https://github.com/pointfreeco/swift-composable-architecture,14250,1623
Swift,Signal-iOS,signalapp,https://github.com/signalapp/Signal-iOS,11778,3334
Swift,userscripts,quoid,https://github.com/quoid/userscripts,4248,367
Swift,Meshtastic-Apple,meshtastic,https://github.com/meshtastic/Meshtastic-Apple,577,198
Swift,boring.notch,TheBoredTeam,https://github.com/TheBoredTeam/boring.notch,6406,449
Swift,sqlite-data,pointfreeco,https://github.com/pointfreeco/sqlite-data,1498,74
Swift,EeveeSpotifyReborn,whoeevee,https://github.com/whoeevee/EeveeSpotifyReborn,2061,9085
Swift,PlayCover,PlayCover,https://github.com/PlayCover/PlayCover,10582,863
Swift,MarkEdit,MarkEdit-app,https://github.com/MarkEdit-app/MarkEdit,3438,127
Swift,UTM,utmapp,https://github.com/utmapp/UTM,32190,1620
Swift,Swiftfin,jellyfin,https://github.com/jellyfin/Swiftfin,3608,436
Swift,vapor,vapor,https://github.com/vapor/vapor,25891,1517
Swift,iina,iina,https://github.com/iina/iina,43319,2726
Swift,Feather,khcrysalis,https://github.com/khcrysalis/Feather,3431,300
Swift,AltStore,altstoreio,https://github.com/altstoreio/AltStore,13371,1194
Swift,SwiftTerm,migueldeicaza,https://github.com/migueldeicaza/SwiftTerm,1252,201
Swift,GRDB.swift,groue,https://github.com/groue/GRDB.swift,8089,823
Swift,iOS,home-assistant,https://github.com/home-assistant/iOS,2063,406
PHP,filament,filamentphp,https://github.com/filamentphp/filament,28593,4027
PHP,solidtime,solidtime-io,https://github.com/solidtime-io/solidtime,7872,406
PHP,SecLists,danielmiessler,https://github.com/danielmiessler/SecLists,68102,24863
PHP,all-in-one,nextcloud,https://github.com/nextcloud/all-in-one,8781,953
PHP,wordpress-develop,WordPress,https://github.com/WordPress/wordpress-develop,3199,3211
PHP,panel,pterodactyl,https://github.com/pterodactyl/panel,8493,2425
PHP,koel,koel,https://github.com/koel/koel,16927,2078
PHP,coolify,coollabsio,https://github.com/coollabsio/coolify,49432,3405
PHP,LinkStack,LinkStackOrg,https://github.com/LinkStackOrg/LinkStack,3397,368
PHP,raspap-webgui,RaspAP,https://github.com/RaspAP/raspap-webgui,5125,840
PHP,opensourcepos,opensourcepos,https://github.com/opensourcepos/opensourcepos,3998,2434
PHP,anonaddy,anonaddy,https://github.com/anonaddy/anonaddy,4355,247
PHP,bagisto,bagisto,https://github.com/bagisto/bagisto,24929,2916
PHP,PHP-CS-Fixer,PHP-CS-Fixer,https://github.com/PHP-CS-Fixer/PHP-CS-Fixer,13424,1627
PHP,yii2,yiisoft,https://github.com/yiisoft/yii2,14339,6839
PHP,framework,laravel,https://github.com/laravel/framework,34429,11751
PHP,dolibarr,Dolibarr,https://github.com/Dolibarr/dolibarr,6813,3228
PHP,opencart,opencart,https://github.com/opencart/opencart,8004,5027
PHP,FreshRSS,FreshRSS,https://github.com/FreshRSS/FreshRSS,13636,1081
PHP,server,nextcloud,https://github.com/nextcloud/server,33789,4683
PHP,joomla-cms,joomla,https://github.com/joomla/joomla-cms,5020,3762
PHP,MadelineProto,danog,https://github.com/danog/MadelineProto,3313,803
PHP,readme-typing-svg,DenverCoder1,https://github.com/DenverCoder1/readme-typing-svg,8153,1445
PHP,firefly-iii,firefly-iii,https://github.com/firefly-iii/firefly-iii,22002,2025
C,flipperzero-firmware,flipperdevices,https://github.com/flipperdevices/flipperzero-firmware,15379,3234
C,radare2,radareorg,https://github.com/radareorg/radare2,22907,3160
C,SDL,libsdl-org,https://github.com/libsdl-org/SDL,14578,2559
C,helloworld,fw876,https://github.com/fw876/helloworld,4062,2677
C,freebsd-src,freebsd,https://github.com/freebsd/freebsd-src,8744,3164
C,OpenCorePkg,acidanthera,https://github.com/acidanthera/OpenCorePkg,14624,2230
C,ExplorerPatcher,valinet,https://github.com/valinet/ExplorerPatcher,31137,1261
C,box2d,erincatto,https://github.com/erincatto/box2d,9436,1721
C,valkey,valkey-io,https://github.com/valkey-io/valkey,24418,999
C,darktable,darktable-org,https://github.com/darktable-org/darktable,11873,1259
C,unleashed-firmware,DarkFlippers,https://github.com/DarkFlippers/unleashed-firmware,20822,1801
C,clay,nicbarker,https://github.com/nicbarker/clay,16303,631
C,pg_textsearch,timescale,https://github.com/timescale/pg_textsearch,2129,46
C,omi,BasedHardware,https://github.com/BasedHardware/omi,7479,1314
C,immortalwrt,immortalwrt,https://github.com/immortalwrt/immortalwrt,9731,3064
C,Luma3DS,LumaTeam,https://github.com/LumaTeam/Luma3DS,6131,603
C,pygame,pygame,https://github.com/pygame/pygame,8559,3970
C,GameNative,utkarshdalal,https://github.com/utkarshdalal/GameNative,2038,79
C,php-src,php,https://github.com/php/php-src,39772,7990
